0 390792216144427293276514429242479380832129218961488180656564033403628719856464716160076052665317049673445785031739191282730023238398324934845661184.00000000 -857524256588129803261083860515285988453352098752562377277791316440959155166893746084468178356618515710202648196611074593871654739290459620383916032.00000000 942372753657541590279516189763285066159018812862540610580546901244474445533012999532373436961972195762259745586698446621030426879053464614635307008.00000000 37146473671196881584925659941069209435265831731466818754948365946156422171513664834553658728983405765143588075589977156775025796186112.00000000 111326643254114759891218992706053486397185800877529272129471123540803823206175681615172670240801145258474528700290089178252427290214400.00000000 117360478886351934312061011006911593609792007627128776646657752124764468486108330114746824865882184326729248386844208295901755839873024.00000000 -133134171378592287285864589314159131968725414632600879946863343475799053880889800711146332679490424998725067129098791719077416608701291847937629303244436013056.00000000 
1 0.00000000 -0.00000000 0.00000000 410352930888925262482619590553973441347887625088226224690857771008.00000000 -136922877557439785574005981012359866872721933795044392264936718336.00000000 432593807500455019252742490298866897570292032651478712532424720384.00000000 -23616935239023562879607437344239178594910208.00000000 
2 0.00000000 -0.00000000 0.00000000 -769090581745211753415835648.00000000 -2304936764170918229861990400.00000000 2429862919951636238182645760.00000000 -23616935239023562879607437344239178594910208.00000000 
3 0.00000000 -0.00000000 0.00000000 -18041624099.64282990 6019966964.00264931 19019469035.71433258 -23616935239023562879607437344239178594910208.00000000 
4 0.00000000 -0.00000000 0.00000000 0.00001956 0.00005861 0.00006178 -23616935239023562879607437344239178594910208.00000000 
5 0.00000000 -0.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
6 0.00000000 -0.00000000 0.00000000 -0.00000000 -0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
7 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
8 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
9 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
10 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
11 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
12 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
13 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
14 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
15 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
16 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
17 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
18 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
19 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
20 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
21 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
22 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
23 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
24 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
25 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
26 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
27 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
28 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
29 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
30 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
31 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
32 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
33 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
34 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
35 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
36 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
37 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
38 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
39 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
40 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
41 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
42 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
43 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
44 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
45 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
46 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
47 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
48 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
49 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
50 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
51 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
52 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
53 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
54 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
55 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
56 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
57 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
58 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
59 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
60 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
61 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
62 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
63 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
64 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
65 0.00000000 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 -23616935239023562879607437344239178594910208.00000000 
